NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	38	Tuto	829143.267	6257979.075	-0.994	-0.111	0.141	4	74.006	422.738	1942-07-01	2016-07-02	3	5.71	34067.35	5.53	5.81	5.4	5.81	7.58	3	13.79	1955	Cerema	2020-12-18
1	39	Tuto	829151.761	6257879.436	-0.997	-0.08	0.102	4	74.006	451.833	1942-07-01	2016-07-02	3	6.1	-2996.35	5.95	6.24	5.82	6.24	8.03	3	14.29	1953	Cerema	2020-12-18
1	40	Tuto	829159.032	6257779.709	-0.998	-0.064	0.081	4	74.006	496.018	1942-07-01	2016-07-02	3	6.7	23438.4	6.5	6.83	6.35	6.83	8.89	3	16.12	1955	Cerema	2020-12-18
1	41	Tuto	829164.546	6257679.861	-0.999	-0.04	0.051	4	74.006	536.372	1942-07-01	2016-07-02	3	7.23	-5907.31	7.02	7.45	6.81	7.45	10.14	3	19.59	1959	Cerema	2020-12-18
1	42	Tuto	829163.407	6257579.891	-0.999	0.034	-0.043	3	74.006	563.022	1942-07-01	2016-07-02	3	7.61	11.61	7.22	7.47	6.99	7.47	11.61	3	20.49	1959	Cerema	2020-12-18
1	43	Tuto	829158.183	6257480.102	-0.987	0.159	-0.202	4	74.006	593.316	1942-07-01	2016-07-02	3	8.02	4847.7	7.72	8.29	7.45	8.29	11.84	3	24.28	1962	Cerema	2020-12-18
1	44	Tuto	829133.991	6257383.195	-0.961	0.275	-0.351	4	74.006	604.636	1942-07-01	2016-07-02	3	8.13	-10221.7	7.81	8.47	7.5	8.47	12.52	3	26.74	1964	Cerema	2020-12-18
1	45	Tuto	829103.545	6257287.943	-0.948	0.319	-0.407	4	74.006	665.67	1942-07-01	2016-07-02	3	8.95	-10968.5	8.73	9.2	8.5	9.2	12.14	3	22.48	1956	Cerema	2020-12-18
1	46	Tuto	829070.398	6257193.673	-0.931	0.364	-0.466	3	74.006	666.247	1942-07-01	2016-07-02	3	9	12.83	8.64	8.87	8.41	8.87	12.83	3	21.33	1954	Cerema	2020-12-18
1	47	Tuto	829032.503	6257101.132	-0.925	0.379	-0.485	3	74.006	715.045	1942-07-01	2016-07-02	3	9.66	12.16	9.42	9.84	9.28	9.84	12.16	3	9.42	1937	Cerema	2020-12-18
1	48	Tuto	828994.608	6257008.59	-0.925	0.379	-0.485	3	74.006	734.313	1942-07-01	2016-07-02	3	9.92	10.07	9.91	9.92	9.9	9.92	10.07	2	9.91	NA	Cerema	2020-12-18
1	49	Tuto	828956.712	6256916.049	-0.917	0.399	-0.512	3	74.006	735.535	1942-07-01	2016-07-02	3	9.94	7.9	10.13	10.01	10.25	10.01	7.9	2	10.13	2031	Cerema	2020-12-18
1	50	Tuto	828914.857	6256825.379	-0.84	0.543	-0.712	3	74.006	479.839	1942-07-01	2016-07-02	3	6.48	5.87	6.54	6.5	6.58	6.5	5.87	2	6.54	2093	Cerema	2020-12-18
1	51	Tuto	828846.679	6256756.653	-0.615	0.789	-1.212	3	74.006	455.048	1942-07-01	2016-07-02	3	6.15	5.56	6.21	6.17	6.24	6.17	5.56	2	6.21	2091	Cerema	2020-12-18
1	52	Tuto	828762.032	6256703.408	-0.514	0.858	-1.494	3	74.006	447.752	1942-07-01	2016-07-02	3	6.05	6.53	6	6.03	5.98	6.03	6.53	3	6	1844	Cerema	2020-12-18
1	53	Tuto	828674.677	6256654.861	-0.459	0.889	-1.689	2	69.248	403.247	1942-07-01	2011-09-30	3	5.82	5.82	5.82	5.82	5.82	5.82	NA	2	5.82	NA	Cerema	2020-12-18
1	54	Tuto	828584.849	6256610.92	-0.44	0.898	-1.765	2	69.248	358.427	1942-07-01	2011-09-30	3	5.18	5.18	5.18	5.18	5.18	5.18	NA	2	5.18	NA	Cerema	2020-12-18
1	55	Tuto	828495.02	6256566.98	-0.44	0.898	-1.765	2	69.248	357.497	1942-07-01	2011-09-30	3	5.16	5.16	5.16	5.16	5.16	5.16	NA	2	5.16	NA	Cerema	2020-12-18
1	56	Tuto	828405.191	6256523.039	-0.433	0.901	-1.795	2	69.248	356.418	1942-07-01	2011-09-30	3	5.15	5.15	5.15	5.15	5.15	5.15	NA	2	5.15	NA	Cerema	2020-12-18
