NAxe	NTrace	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	prj_tdc	leve	product	NomTDC[itdc]	Nbcoup
1	43	829158.243	6257480.489	-0.988	0.154	-300.541	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	43	829158.243	6257480.489	-0.988	0.154	176.477	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	44	829134.11	6257383.568	-0.953	0.304	292.289	20160702155714	20160702155914	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	44	829134.11	6257383.568	-0.953	0.304	289.444	20160702162515	20160702162752	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	44	829134.11	6257383.568	-0.953	0.304	-310.391	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	44	829134.11	6257383.568	-0.953	0.304	167.521	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	45	829103.664	6257288.316	-0.953	0.305	311.857	20160702155714	20160702155914	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	45	829103.664	6257288.316	-0.953	0.305	307.744	20160702162515	20160702162752	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	45	829103.664	6257288.316	-0.953	0.305	-356.727	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	45	829103.664	6257288.316	-0.953	0.305	203.412	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	46	829070.547	6257194.036	-0.925	0.379	316.757	20160702143628	20160702143658	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	46	829070.547	6257194.036	-0.925	0.379	-349.314	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	46	829070.547	6257194.036	-0.925	0.379	217.199	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	47	829032.652	6257101.494	-0.925	0.379	337.268	20160702143549	20160702143625	3	10	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	47	829032.652	6257101.494	-0.925	0.379	-377.604	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	47	829032.652	6257101.494	-0.925	0.379	253.051	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	48	828994.756	6257008.953	-0.925	0.379	351.705	20160702143433	20160702143523	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	48	828994.756	6257008.953	-0.925	0.379	-382.753	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	48	828994.756	6257008.953	-0.925	0.379	301.958	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	48	828994.756	6257008.953	-0.925	0.379	268.726	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	48	828994.756	6257008.953	-0.925	0.379	216.825	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	49	828956.861	6256916.411	-0.925	0.379	352.974	20160702143213	20160702143346	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
