NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	76	826627.922	6255635.473	-0.708	0.706	-0.998	2	1.752	65.418	2011-09-30	2013-07-01	3	-37.33	-37.33	-37.33	-37.33	-37.33	-37.33	NA	2	-37.33	NA	Cerema	2020-06-23
1	77	826557.387	6255564.587	-0.709	0.706	-0.997	2	1.752	54.532	2011-09-30	2013-07-01	3	-31.12	-31.12	-31.12	-31.12	-31.12	-31.12	NA	2	-31.12	NA	Cerema	2020-06-23
1	78	826486.853	6255493.701	-0.709	0.705	-0.996	2	1.752	30.475	2011-09-30	2013-07-01	3	-17.39	-17.39	-17.39	-17.39	-17.39	-17.39	NA	2	-17.39	NA	Cerema	2020-06-23
1	79	826418.731	6255420.541	-0.764	0.645	-0.878	2	1.752	11.564	2011-09-30	2013-07-01	3	6.6	6.6	6.6	6.6	6.6	6.6	NA	2	6.6	NA	Cerema	2020-06-23
1	80	826358.104	6255341.063	-0.817	0.576	-0.763	2	1.752	15.691	2011-09-30	2013-07-01	3	8.95	8.95	8.95	8.95	8.95	8.95	NA	2	8.95	NA	Cerema	2020-06-23
1	81	826319.235	6255250.796	-0.977	0.212	-0.27	2	1.752	21.937	2011-09-30	2013-07-01	3	12.52	12.52	12.52	12.52	12.52	12.52	NA	2	12.52	NA	Cerema	2020-06-23
1	82	826300.048	6255152.742	-0.995	0.099	-0.126	2	1.752	6.678	2011-09-30	2013-07-01	3	3.81	3.81	3.81	3.81	3.81	3.81	NA	2	3.81	NA	Cerema	2020-06-23
1	83	826292.84	6255053.045	-1	0.016	-0.02	2	1.752	11.759	2011-09-30	2013-07-01	3	6.71	6.71	6.71	6.71	6.71	6.71	NA	2	6.71	NA	Cerema	2020-06-23
1	84	826294.054	6254953.091	-0.998	-0.056	0.071	2	1.752	12.603	2011-09-30	2013-07-01	3	7.19	7.19	7.19	7.19	7.19	7.19	NA	2	7.19	NA	Cerema	2020-06-23
1	85	826303.042	6254853.505	-0.995	-0.095	0.121	2	1.752	28.09	2011-09-30	2013-07-01	3	16.03	16.03	16.03	16.03	16.03	16.03	NA	2	16.03	NA	Cerema	2020-06-23
1	86	826314.382	6254754.157	-0.993	-0.122	0.155	2	1.752	24.352	2011-09-30	2013-07-01	3	13.9	13.9	13.9	13.9	13.9	13.9	NA	2	13.9	NA	Cerema	2020-06-23
1	87	826326.943	6254654.953	-0.989	-0.149	0.19	2	1.752	15.131	2011-09-30	2013-07-01	3	8.64	8.64	8.64	8.64	8.64	8.64	NA	2	8.64	NA	Cerema	2020-06-23
1	88	826349.935	6254557.753	-0.95	-0.313	0.399	2	1.752	17.751	2011-09-30	2013-07-01	3	10.13	10.13	10.13	10.13	10.13	10.13	NA	2	10.13	NA	Cerema	2020-06-23
1	89	826390.411	6254466.453	-0.896	-0.443	0.571	2	1.752	14.416	2011-09-30	2013-07-01	3	8.23	8.23	8.23	8.23	8.23	8.23	NA	2	8.23	NA	Cerema	2020-06-23
1	90	826435.583	6254377.252	-0.879	-0.477	0.617	2	1.752	10.785	2011-09-30	2013-07-01	3	6.16	6.16	6.16	6.16	6.16	6.16	NA	2	6.16	NA	Cerema	2020-06-23
1	91	826483.377	6254289.413	-0.877	-0.48	0.622	2	1.752	10.625	2011-09-30	2013-07-01	3	6.06	6.06	6.06	6.06	6.06	6.06	NA	2	6.06	NA	Cerema	2020-06-23
1	92	826531.378	6254201.687	-0.877	-0.48	0.622	2	1.752	5.317	2011-09-30	2013-07-01	3	3.03	3.03	3.03	3.03	3.03	3.03	NA	2	3.03	NA	Cerema	2020-06-23
1	93	826579.38	6254113.961	-0.877	-0.48	0.622	2	1.752	1.07	2011-09-30	2013-07-01	3	0.61	0.61	0.61	0.61	0.61	0.61	NA	1	0.61	NA	Cerema	2020-06-23
1	94	826628.324	6254026.764	-0.854	-0.521	0.68	2	1.752	5.255	2011-09-30	2013-07-01	3	-3	-3	-3	-3	-3	-3	NA	2	-3	NA	Cerema	2020-06-23
1	95	826680.437	6253941.416	-0.853	-0.521	0.68	2	1.752	11.312	2011-09-30	2013-07-01	3	-6.46	-6.46	-6.46	-6.46	-6.46	-6.46	NA	2	-6.46	NA	Cerema	2020-06-23
1	96	826734.133	6253857.058	-0.847	-0.532	0.696	2	1.752	11.302	2011-09-30	2013-07-01	3	-6.45	-6.45	-6.45	-6.45	-6.45	-6.45	NA	2	-6.45	NA	Cerema	2020-06-23
1	97	826787.168	6253772.282	-0.85	-0.527	0.688	2	1.752	19.606	2011-09-30	2013-07-01	3	-11.19	-11.19	-11.19	-11.19	-11.19	-11.19	NA	2	-11.19	NA	Cerema	2020-06-23
