NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	60	828035.2	6256373.112	-0.346	0.938	-2.262	3	71.001	340.912	1942-07-01	2013-07-01	3	4.8	3.21	4.86	4.82	4.84	4.82	3.21	3	NA	2011	Cerema	2020-06-23
1	61	827941.387	6256338.484	-0.36	0.933	-2.173	3	71.001	344.037	1942-07-01	2013-07-01	3	4.77	2.16	4.86	4.8	4.84	4.8	2.16	3	-3.26	1998	Cerema	2020-06-23
1	62	827850.26	6256297.387	-0.431	0.903	-1.805	3	71.001	317.221	1942-07-01	2013-07-01	3	4.36	1.48	4.46	4.4	4.44	4.4	1.48	3	-4.49	1995	Cerema	2020-06-23
1	63	827760.003	6256254.333	-0.431	0.902	-1.803	3	71.001	328.215	1942-07-01	2013-07-01	3	4.48	1.17	4.6	4.53	4.57	4.53	1.17	3	-5.7	1993	Cerema	2020-06-23
1	64	827669.746	6256211.279	-0.43	0.903	-1.809	3	71.001	339.277	1942-07-01	2013-07-01	3	4.62	1.09	4.75	4.67	4.72	4.67	1.09	3	-6.25	1992	Cerema	2020-06-23
1	65	827579.489	6256168.225	-0.431	0.903	-1.805	3	71.001	577.785	1942-07-01	2013-07-01	3	5.12	-36.34	6.65	5.69	6.27	5.69	-36.34	3	-122.47	1979	Cerema	2020-06-23
1	66	827488.196	6256127.522	-0.355	0.935	-2.204	3	71.001	650.001	1942-07-01	2013-07-01	3	5.85	-39.61	7.53	6.48	7.11	6.48	-39.61	3	-134.07	1979	Cerema	2020-06-23
1	67	827394.508	6256092.565	-0.378	0.926	-2.067	3	71.001	697.021	1942-07-01	2013-07-01	3	8.97	-5.06	9.49	9.17	9.36	9.17	-5.06	3	-34.21	1985	Cerema	2020-06-23
1	68	827303.901	6256050.31	-0.431	0.902	-1.803	3	71.001	749.474	1942-07-01	2013-07-01	3	10.56	13.95	10.43	10.51	10.46	10.51	13.95	3	21	1943	Cerema	2020-06-23
1	69	827213.862	6256006.804	-0.442	0.897	-1.757	3	71.001	797.754	1942-07-01	2013-07-01	3	11.24	18.4	10.97	11.14	11.04	11.14	18.4	3	33.27	1960	Cerema	2020-06-23
1	70	827121.537	6255968.705	-0.337	0.941	-2.323	3	71.001	737.189	1942-07-01	2013-07-01	3	10.38	18.51	10.08	10.27	10.16	10.27	18.51	3	35.41	1963	Cerema	2020-06-23
1	71	827029.521	6255929.677	-0.43	0.903	-1.809	3	71.001	810.649	1942-07-01	2013-07-01	3	11.42	34.18	10.58	11.1	10.78	11.1	34.18	3	81.49	1972	Cerema	2020-06-23
