NAxe	NTrace	Loc	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	leve	product	NomTDC[itdc]	Nbcoup
1	53	Tuto	828674.677	6256654.861	-0.459	0.889	-107.681	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	53	Tuto	828674.677	6256654.861	-0.459	0.889	295.566	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	54	Tuto	828584.849	6256610.92	-0.44	0.898	-125.145	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	54	Tuto	828584.849	6256610.92	-0.44	0.898	233.282	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	55	Tuto	828495.02	6256566.98	-0.44	0.898	-149.186	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	55	Tuto	828495.02	6256566.98	-0.44	0.898	208.311	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	56	Tuto	828405.191	6256523.039	-0.433	0.901	-175.748	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	56	Tuto	828405.191	6256523.039	-0.433	0.901	180.67	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	57	Tuto	828315.227	6256479.383	-0.401	0.916	-192.547	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	57	Tuto	828315.227	6256479.383	-0.401	0.916	170.779	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	58	Tuto	828222.464	6256442.067	-0.357	0.934	198.973	20160702142050	20160702142103	3	10	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	58	Tuto	828222.464	6256442.067	-0.357	0.934	-222.072	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	58	Tuto	828222.464	6256442.067	-0.357	0.934	211.906	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	58	Tuto	828222.464	6256442.067	-0.357	0.934	205.568	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	59	Tuto	828128.614	6256407.538	-0.345	0.939	161.576	20160702141943	20160702142017	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	59	Tuto	828128.614	6256407.538	-0.345	0.939	-213.352	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	59	Tuto	828128.614	6256407.538	-0.345	0.939	169.911	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	59	Tuto	828128.614	6256407.538	-0.345	0.939	164.258	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	60	Tuto	828034.783	6256372.958	-0.349	0.937	-211.209	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	60	Tuto	828034.783	6256372.958	-0.349	0.937	129.309	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	60	Tuto	828034.783	6256372.958	-0.349	0.937	129.176	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	61	Tuto	827940.973	6256338.325	-0.372	0.928	-238.055	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	61	Tuto	827940.973	6256338.325	-0.372	0.928	106.415	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	61	Tuto	827940.973	6256338.325	-0.372	0.928	100.632	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	62	Tuto	827849.86	6256297.196	-0.417	0.909	-226.864	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	62	Tuto	827849.86	6256297.196	-0.417	0.909	90.756	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	62	Tuto	827849.86	6256297.196	-0.417	0.909	82.871	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	63	Tuto	827759.603	6256254.142	-0.431	0.902	-246.326	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	63	Tuto	827759.603	6256254.142	-0.431	0.902	81.908	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	63	Tuto	827759.603	6256254.142	-0.431	0.902	71.935	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	64	Tuto	827669.346	6256211.088	-0.431	0.902	-261.747	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	64	Tuto	827669.346	6256211.088	-0.431	0.902	77.612	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	64	Tuto	827669.346	6256211.088	-0.431	0.902	66.587	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	65	Tuto	827579.088	6256168.034	-0.416	0.909	-287.84	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	65	Tuto	827579.088	6256168.034	-0.416	0.909	288.253	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	65	Tuto	827579.088	6256168.034	-0.416	0.909	76.655	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
1	66	Tuto	827487.781	6256127.365	-0.375	0.927	-322.37	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	66	Tuto	827487.781	6256127.365	-0.375	0.927	327.645	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	2
1	66	Tuto	827487.781	6256127.365	-0.375	0.927	90.711	2013	0	3	10	NUM	Cerema	TDC_Pleiades_2013_MobiTC	1
